,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,404,1B,,Caught Stealing 2B,592885,Christian Yelich,605513,Spencer Turnbull,576397,Jedd Gyorko,R,Austin Romine,519222,0,0,1,True,2020-09-08,Caught,2B,2020,2021,28.4
1,522,1B,2B,Stolen Base 2B,592885,Christian Yelich,605513,Spencer Turnbull,669374,Keston Hiura,R,Austin Romine,519222,3,5,5,False,2020-09-02,Stolen,2B,2020,2021,28.4
2,524,1B,2B,Stolen Base 2B,592885,Christian Yelich,571656,Buck Farmer,669374,Keston Hiura,R,Austin Romine,519222,6,5,8,False,2020-09-02,Stolen,2B,2020,2021,28.4
3,697,1B,2B,Stolen Base 2B,592885,Christian Yelich,622088,Tejay Antone,475253,Justin Smoak,R,Curt Casali,592200,4,2,7,False,2020-08-24,Stolen,2B,2020,2021,28.4
4,890,1B,2B,Stolen Base 2B,592885,Christian Yelich,506433,Yu Darvish,541645,Avisaíl García,R,Victor Caratini,605170,0,0,1,True,2020-08-13,Stolen,2B,2020,2021,28.4
5,1180,1B,,Caught Stealing 2B,592885,Christian Yelich,608717,Chris Stratton,541645,Avisaíl García,R,John Ryan Murphy,571974,1,0,6,True,2020-07-27,Caught,2B,2020,2021,28.4
6,3247,1B,,Caught Stealing 2B,592885,Christian Yelich,605513,Spencer Turnbull,576397,Jedd Gyorko,R,Austin Romine,519222,0,0,1,True,2020-09-08,Caught,2B,2020,2021,28.4
7,3365,1B,2B,Stolen Base 2B,592885,Christian Yelich,605513,Spencer Turnbull,669374,Keston Hiura,R,Austin Romine,519222,3,5,5,False,2020-09-02,Stolen,2B,2020,2021,28.4
8,3367,1B,2B,Stolen Base 2B,592885,Christian Yelich,571656,Buck Farmer,669374,Keston Hiura,R,Austin Romine,519222,6,5,8,False,2020-09-02,Stolen,2B,2020,2021,28.4
9,3540,1B,2B,Stolen Base 2B,592885,Christian Yelich,622088,Tejay Antone,475253,Justin Smoak,R,Curt Casali,592200,4,2,7,False,2020-08-24,Stolen,2B,2020,2021,28.4
10,3733,1B,2B,Stolen Base 2B,592885,Christian Yelich,506433,Yu Darvish,541645,Avisaíl García,R,Victor Caratini,605170,0,0,1,True,2020-08-13,Stolen,2B,2020,2021,28.4
11,4023,1B,,Caught Stealing 2B,592885,Christian Yelich,608717,Chris Stratton,541645,Avisaíl García,R,John Ryan Murphy,571974,1,0,6,True,2020-07-27,Caught,2B,2020,2021,28.4
12,5171,1B,,Caught Stealing 2B,592885,Christian Yelich,605513,Spencer Turnbull,576397,Jedd Gyorko,R,Austin Romine,519222,0,0,1,True,2020-09-08,Caught,2B,2020,2021,28.4
13,5289,1B,2B,Stolen Base 2B,592885,Christian Yelich,605513,Spencer Turnbull,669374,Keston Hiura,R,Austin Romine,519222,3,5,5,False,2020-09-02,Stolen,2B,2020,2021,28.4
