,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,924,3B,,Caught Stealing Home,641857,Ryan McMahon,668678,Zac Gallen,547172,Tony Wolters,R,Carson Kelly,608348,2,1,4,False,2020-08-11,Caught,Home,2020,2021,26.2
1,3767,3B,,Caught Stealing Home,641857,Ryan McMahon,668678,Zac Gallen,547172,Tony Wolters,R,Carson Kelly,608348,2,1,4,False,2020-08-11,Caught,Home,2020,2021,26.2
2,5691,3B,,Caught Stealing Home,641857,Ryan McMahon,668678,Zac Gallen,547172,Tony Wolters,R,Carson Kelly,608348,2,1,4,False,2020-08-11,Caught,Home,2020,2021,26.2
3,1961,1B,2B,Stolen Base 2B,641857,Ryan McMahon,657141,Jordan Yamamoto,624513,Dom Nuñez,R,Jorge Alfaro,595751,1,2,5,False,2019-08-18,Stolen,2B,2019,2020,26.0
4,2075,1B,2B,Stolen Base 2B,641857,Ryan McMahon,662253,Andrés Muñoz,602074,Yonathan Daza,R,Austin Hedges,595978,5,5,8,True,2019-08-10,Stolen,2B,2019,2020,26.0
5,2388,1B,2B,Stolen Base 2B,641857,Ryan McMahon,547973,Aroldis Chapman,455104,Chris Iannetta,L,Gary Sánchez,596142,4,8,9,True,2019-07-21,Stolen,2B,2019,2020,26.0
6,2644,1B,2B,Stolen Base 2B,641857,Ryan McMahon,606965,Chris Devenski,547172,Tony Wolters,R,Robinson Chirinos,455139,8,9,7,False,2019-07-02,Stolen,2B,2019,2020,26.0
7,3865,1B,2B,Stolen Base 2B,641857,Ryan McMahon,504379,Juan Nicasio,435622,Ian Desmond,R,J.T. Realmuto,592663,2,2,11,False,2019-04-19,Stolen,2B,2019,2020,26.0
8,4804,1B,2B,Stolen Base 2B,641857,Ryan McMahon,657141,Jordan Yamamoto,624513,Dom Nuñez,R,Jorge Alfaro,595751,1,2,5,False,2019-08-18,Stolen,2B,2019,2020,26.0
9,4918,1B,2B,Stolen Base 2B,641857,Ryan McMahon,662253,Andrés Muñoz,602074,Yonathan Daza,R,Austin Hedges,595978,5,5,8,True,2019-08-10,Stolen,2B,2019,2020,26.0
10,5231,1B,2B,Stolen Base 2B,641857,Ryan McMahon,547973,Aroldis Chapman,455104,Chris Iannetta,L,Gary Sánchez,596142,4,8,9,True,2019-07-21,Stolen,2B,2019,2020,26.0
11,5487,1B,2B,Stolen Base 2B,641857,Ryan McMahon,606965,Chris Devenski,547172,Tony Wolters,R,Robinson Chirinos,455139,8,9,7,False,2019-07-02,Stolen,2B,2019,2020,26.0
12,6708,1B,2B,Stolen Base 2B,641857,Ryan McMahon,504379,Juan Nicasio,435622,Ian Desmond,R,J.T. Realmuto,592663,2,2,11,False,2019-04-19,Stolen,2B,2019,2020,26.0
13,6728,1B,2B,Stolen Base 2B,641857,Ryan McMahon,657141,Jordan Yamamoto,624513,Dom Nuñez,R,Jorge Alfaro,595751,1,2,5,False,2019-08-18,Stolen,2B,2019,2020,26.0
14,6842,1B,2B,Stolen Base 2B,641857,Ryan McMahon,662253,Andrés Muñoz,602074,Yonathan Daza,R,Austin Hedges,595978,5,5,8,True,2019-08-10,Stolen,2B,2019,2020,26.0
15,7155,1B,2B,Stolen Base 2B,641857,Ryan McMahon,547973,Aroldis Chapman,455104,Chris Iannetta,L,Gary Sánchez,596142,4,8,9,True,2019-07-21,Stolen,2B,2019,2020,26.0
