,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,150,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,664776,Jake Cousins,669242,Tommy Edman,R,Manny Piña,444489,0,2,8,True,2021-09-21,Stolen,2B,2021,2022,28.2
1,185,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,622503,Nabil Crismatt,502671,Paul Goldschmidt,R,Austin Nola,543592,7,4,6,False,2021-09-19,Stolen,2B,2021,2022,28.2
2,2074,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,664776,Jake Cousins,669242,Tommy Edman,R,Manny Piña,444489,0,2,8,True,2021-09-21,Stolen,2B,2021,2022,28.2
3,2109,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,622503,Nabil Crismatt,502671,Paul Goldschmidt,R,Austin Nola,543592,7,4,6,False,2021-09-19,Stolen,2B,2021,2022,28.2
4,289,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,656730,Trevor Megill,502671,Paul Goldschmidt,R,William Contreras,661388,0,0,1,False,2023-09-19,Stolen,2B,2023,2024,27.0
5,487,2B,3B,Stolen Base 3B,663457,Lars Nootbaar,665152,Dean Kremer,502671,Paul Goldschmidt,R,Adley Rutschman,668939,2,1,3,True,2023-09-11,Stolen,3B,2023,2024,27.0
6,704,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,669796,Jose E. Hernandez,669357,Nolan Gorman,L,Jason Delay,641511,6,4,8,False,2023-09-03,Stolen,2B,2023,2024,27.0
7,1271,2B,3B,Stolen Base 3B,663457,Lars Nootbaar,687330,Kevin Kelly,571448,Nolan Arenado,R,René Pinto,650907,2,2,3,True,2023-08-09,Stolen,3B,2023,2024,27.0
8,1701,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,573186,Marcus Stroman,502671,Paul Goldschmidt,R,Yan Gomes,543228,0,3,4,True,2023-07-20,Stolen,2B,2023,2024,27.0
9,1750,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,665795,Edward Cabrera,571448,Nolan Arenado,R,Nick Fortes,663743,0,0,4,False,2023-07-18,Stolen,2B,2023,2024,27.0
10,2056,1B,2B,Caught Stealing 3B,663457,Lars Nootbaar,543037,Gerrit Cole,502671,Paul Goldschmidt,R,Jose Trevino,624431,0,0,1,False,2023-07-02,Caught,3B,2023,2024,27.0
11,2944,1B,,Caught Stealing 2B,663457,Lars Nootbaar,669456,Shane Bieber,502671,Paul Goldschmidt,R,Mike Zunino,572287,0,0,3,True,2023-05-26,Caught,2B,2023,2024,27.0
12,3265,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,445276,Kenley Jansen,669357,Nolan Gorman,R,Connor Wong,657136,6,8,9,True,2023-05-12,Stolen,2B,2023,2024,27.0
13,3346,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,573186,Marcus Stroman,575929,Willson Contreras,R,Miguel Amaya,665804,1,2,6,True,2023-05-08,Stolen,2B,2023,2024,27.0
14,3409,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,605513,Spencer Turnbull,502671,Paul Goldschmidt,R,Eric Haase,606992,3,0,2,False,2023-05-06,Stolen,2B,2023,2024,27.0
