,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,211,3B,,Caught Stealing Home,608070,José Ramírez,641302,Tyler Alexander,547379,Roberto Pérez,L,Eric Haase,606992,0,0,4,True,2020-09-18,Caught,Home,2020,2021,28.1
1,307,1B,2B,Stolen Base 2B,608070,José Ramírez,461325,Tyler Clippard,467793,Carlos Santana,R,Willians Astudillo,553902,5,3,8,True,2020-09-12,Stolen,2B,2020,2021,28.1
2,452,1B,,Caught Stealing 2B,608070,José Ramírez,474463,Brett Anderson,596019,Francisco Lindor,L,Jacob Nottingham,641924,1,0,3,False,2020-09-06,Caught,2B,2020,2021,28.1
3,468,1B,2B,Stolen Base 2B,608070,José Ramírez,605540,Brandon Woodruff,596019,Francisco Lindor,R,Omar Narváez,553882,0,0,3,False,2020-09-05,Stolen,2B,2020,2021,28.1
4,675,1B,2B,Stolen Base 2B,608070,José Ramírez,448179,Rich Hill,596019,Francisco Lindor,L,Ryan Jeffers,680777,0,0,1,False,2020-08-25,Stolen,2B,2020,2021,28.1
5,676,2B,3B,Stolen Base 3B,608070,José Ramírez,448179,Rich Hill,596019,Francisco Lindor,L,Ryan Jeffers,680777,0,0,1,False,2020-08-25,Stolen,3B,2020,2021,28.1
6,724,1B,2B,Stolen Base 2B,608070,José Ramírez,669373,Tarik Skubal,596019,Francisco Lindor,L,Grayson Greiner,606988,1,1,3,False,2020-08-23,Stolen,2B,2020,2021,28.1
7,782,1B,2B,Stolen Base 2B,608070,José Ramírez,641341,Tyler Bashlor,596019,Francisco Lindor,R,Jacob Stallings,607732,0,3,8,True,2020-08-19,Stolen,2B,2020,2021,28.1
8,783,2B,3B,Stolen Base 3B,608070,José Ramírez,641341,Tyler Bashlor,467793,Carlos Santana,R,Jacob Stallings,607732,0,3,8,True,2020-08-19,Stolen,3B,2020,2021,28.1
9,864,1B,2B,Stolen Base 2B,608070,José Ramírez,605513,Spencer Turnbull,596019,Francisco Lindor,R,Austin Romine,519222,0,0,1,True,2020-08-15,Stolen,2B,2020,2021,28.1
10,866,1B,2B,Stolen Base 2B,608070,José Ramírez,605513,Spencer Turnbull,596019,Francisco Lindor,R,Austin Romine,519222,0,2,5,True,2020-08-15,Stolen,2B,2020,2021,28.1
11,1109,1B,2B,Stolen Base 2B,608070,José Ramírez,461325,Tyler Clippard,596019,Francisco Lindor,R,Alex Avila,488671,4,0,6,True,2020-07-31,Stolen,2B,2020,2021,28.1
12,3054,3B,,Caught Stealing Home,608070,José Ramírez,641302,Tyler Alexander,547379,Roberto Pérez,L,Eric Haase,606992,0,0,4,True,2020-09-18,Caught,Home,2020,2021,28.1
13,3150,1B,2B,Stolen Base 2B,608070,José Ramírez,461325,Tyler Clippard,467793,Carlos Santana,R,Willians Astudillo,553902,5,3,8,True,2020-09-12,Stolen,2B,2020,2021,28.1
14,3295,1B,,Caught Stealing 2B,608070,José Ramírez,474463,Brett Anderson,596019,Francisco Lindor,L,Jacob Nottingham,641924,1,0,3,False,2020-09-06,Caught,2B,2020,2021,28.1
15,3311,1B,2B,Stolen Base 2B,608070,José Ramírez,605540,Brandon Woodruff,596019,Francisco Lindor,R,Omar Narváez,553882,0,0,3,False,2020-09-05,Stolen,2B,2020,2021,28.1
16,3518,1B,2B,Stolen Base 2B,608070,José Ramírez,448179,Rich Hill,596019,Francisco Lindor,L,Ryan Jeffers,680777,0,0,1,False,2020-08-25,Stolen,2B,2020,2021,28.1
17,3519,2B,3B,Stolen Base 3B,608070,José Ramírez,448179,Rich Hill,596019,Francisco Lindor,L,Ryan Jeffers,680777,0,0,1,False,2020-08-25,Stolen,3B,2020,2021,28.1
