,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,989,1B,,Caught Stealing 2B,656537,Derek Hill,592644,Adam Plutko,668731,Akil Baddoo,R,Austin Wynns,642851,4,0,6,False,2021-07-29,Caught,2B,2021,2022,29.6
1,1178,1B,2B,Stolen Base 2B,656537,Derek Hill,457918,J.A. Happ,543257,Robbie Grossman,L,Ryan Jeffers,680777,1,0,3,False,2021-07-18,Stolen,2B,2021,2022,29.6
2,1207,2B,3B,Stolen Base 3B,656537,Derek Hill,573124,Taylor Rogers,570731,Jonathan Schoop,L,Ryan Jeffers,680777,4,4,8,False,2021-07-17,Stolen,3B,2021,2022,29.6
3,1413,1B,2B,Stolen Base 2B,656537,Derek Hill,661403,Emmanuel Clase,543257,Robbie Grossman,R,René Rivera,425784,1,6,6,True,2021-06-30,Stolen,2B,2021,2022,29.6
4,1428,1B,2B,Stolen Base 2B,656537,Derek Hill,661403,Emmanuel Clase,543257,Robbie Grossman,R,René Rivera,425784,1,6,6,True,2021-06-29,Stolen,2B,2021,2022,29.6
5,1768,2B,,Caught Stealing 3B,656537,Derek Hill,594835,Marco Gonzales,543257,Robbie Grossman,L,Tom Murphy,608596,4,1,2,False,2021-06-08,Caught,3B,2021,2022,29.6
6,1769,1B,2B,Stolen Base 2B,656537,Derek Hill,605441,Yacksel Ríos,570731,Jonathan Schoop,R,Tom Murphy,608596,5,1,5,False,2021-06-08,Stolen,2B,2021,2022,29.6
7,1785,1B,2B,Stolen Base 2B,656537,Derek Hill,656302,Dylan Cease,668731,Akil Baddoo,R,Yasmani Grandal,518735,3,0,5,True,2021-06-06,Stolen,2B,2021,2022,29.6
8,1807,1B,2B,Stolen Base 2B,656537,Derek Hill,608337,Lucas Giolito,543257,Robbie Grossman,R,Yermín Mercedes,606213,1,3,5,True,2021-06-05,Stolen,2B,2021,2022,29.6
9,2913,1B,,Caught Stealing 2B,656537,Derek Hill,592644,Adam Plutko,668731,Akil Baddoo,R,Austin Wynns,642851,4,0,6,False,2021-07-29,Caught,2B,2021,2022,29.6
10,3102,1B,2B,Stolen Base 2B,656537,Derek Hill,457918,J.A. Happ,543257,Robbie Grossman,L,Ryan Jeffers,680777,1,0,3,False,2021-07-18,Stolen,2B,2021,2022,29.6
11,3131,2B,3B,Stolen Base 3B,656537,Derek Hill,573124,Taylor Rogers,570731,Jonathan Schoop,L,Ryan Jeffers,680777,4,4,8,False,2021-07-17,Stolen,3B,2021,2022,29.6
12,3337,1B,2B,Stolen Base 2B,656537,Derek Hill,661403,Emmanuel Clase,543257,Robbie Grossman,R,René Rivera,425784,1,6,6,True,2021-06-30,Stolen,2B,2021,2022,29.6
13,3352,1B,2B,Stolen Base 2B,656537,Derek Hill,661403,Emmanuel Clase,543257,Robbie Grossman,R,René Rivera,425784,1,6,6,True,2021-06-29,Stolen,2B,2021,2022,29.6
14,3692,2B,,Caught Stealing 3B,656537,Derek Hill,594835,Marco Gonzales,543257,Robbie Grossman,L,Tom Murphy,608596,4,1,2,False,2021-06-08,Caught,3B,2021,2022,29.6
15,3693,1B,2B,Stolen Base 2B,656537,Derek Hill,605441,Yacksel Ríos,570731,Jonathan Schoop,R,Tom Murphy,608596,5,1,5,False,2021-06-08,Stolen,2B,2021,2022,29.6
16,3709,1B,2B,Stolen Base 2B,656537,Derek Hill,656302,Dylan Cease,668731,Akil Baddoo,R,Yasmani Grandal,518735,3,0,5,True,2021-06-06,Stolen,2B,2021,2022,29.6
17,3731,1B,2B,Stolen Base 2B,656537,Derek Hill,608337,Lucas Giolito,543257,Robbie Grossman,R,Yermín Mercedes,606213,1,3,5,True,2021-06-05,Stolen,2B,2021,2022,29.6
18,2230,1B,2B,Stolen Base 2B,656537,Derek Hill,472610,Luis García,682928,CJ Abrams,R,Gary Sánchez,596142,0,2,9,True,2023-06-24,Stolen,2B,2023,2024,29.5
19,6644,1B,2B,Stolen Base 2B,656537,Derek Hill,472610,Luis García,682928,CJ Abrams,R,Gary Sánchez,596142,0,2,9,True,2023-06-24,Stolen,2B,2023,2024,29.5
20,986,1B,2B,Stolen Base 2B,656537,Derek Hill,605164,Dylan Bundy,605612,Harold Castro,R,Gary Sánchez,596142,0,0,3,True,2022-05-25,Stolen,2B,2022,2023,29.7
21,1061,1B,2B,Stolen Base 2B,656537,Derek Hill,650644,Aaron Civale,543257,Robbie Grossman,R,Austin Hedges,595978,0,0,3,True,2022-05-20,Stolen,2B,2022,2023,29.7
22,1159,2B,3B,Stolen Base 3B,656537,Derek Hill,669330,Tyler Wells,605612,Harold Castro,R,Robinson Chirinos,455139,2,0,2,False,2022-05-15,Stolen,3B,2022,2023,29.7
