,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,1003,1B,2B,Stolen Base 2B,462101,Elvis Andrus,571666,Mike Fiers,641432,Willie Calhoun,R,Sean Murphy,669221,1,0,4,True,2020-08-06,Stolen,2B,2020,2021,26.7
1,1016,2B,3B,Stolen Base 3B,462101,Elvis Andrus,640455,Sean Manaea,608336,Joey Gallo,L,Austin Allen,664119,2,1,3,True,2020-08-05,Stolen,3B,2020,2021,26.7
2,1084,2B,3B,Stolen Base 3B,462101,Elvis Andrus,592767,Drew Smyly,596059,Rougned Odor,L,Tyler Heineman,623168,0,0,1,True,2020-08-01,Stolen,3B,2020,2021,26.7
3,1216,1B,,Caught Stealing 2B,462101,Elvis Andrus,592351,Jon Gray,608336,Joey Gallo,R,Drew Butera,460077,0,2,4,False,2020-07-25,Caught,2B,2020,2021,26.7
4,3846,1B,2B,Stolen Base 2B,462101,Elvis Andrus,571666,Mike Fiers,641432,Willie Calhoun,R,Sean Murphy,669221,1,0,4,True,2020-08-06,Stolen,2B,2020,2021,26.7
5,3859,2B,3B,Stolen Base 3B,462101,Elvis Andrus,640455,Sean Manaea,608336,Joey Gallo,L,Austin Allen,664119,2,1,3,True,2020-08-05,Stolen,3B,2020,2021,26.7
6,3927,2B,3B,Stolen Base 3B,462101,Elvis Andrus,592767,Drew Smyly,596059,Rougned Odor,L,Tyler Heineman,623168,0,0,1,True,2020-08-01,Stolen,3B,2020,2021,26.7
7,4059,1B,,Caught Stealing 2B,462101,Elvis Andrus,592351,Jon Gray,608336,Joey Gallo,R,Drew Butera,460077,0,2,4,False,2020-07-25,Caught,2B,2020,2021,26.7
8,5770,1B,2B,Stolen Base 2B,462101,Elvis Andrus,571666,Mike Fiers,641432,Willie Calhoun,R,Sean Murphy,669221,1,0,4,True,2020-08-06,Stolen,2B,2020,2021,26.7
9,5783,2B,3B,Stolen Base 3B,462101,Elvis Andrus,640455,Sean Manaea,608336,Joey Gallo,L,Austin Allen,664119,2,1,3,True,2020-08-05,Stolen,3B,2020,2021,26.7
10,5851,2B,3B,Stolen Base 3B,462101,Elvis Andrus,592767,Drew Smyly,596059,Rougned Odor,L,Tyler Heineman,623168,0,0,1,True,2020-08-01,Stolen,3B,2020,2021,26.7
