,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,1663,2B,3B,Stolen Base 3B,541650,Hernán Pérez,430935,Cole Hamels,606115,Orlando Arcia,L,Jonathan Lucroy,518960,4,1,3,False,2019-09-06,Stolen,3B,2019,2021,26.2
1,3033,1B,2B,Stolen Base 2B,541650,Hernán Pérez,434538,Francisco Liriano,542583,Jesús Aguilar,L,Elias Díaz,553869,4,2,8,False,2019-06-09,Stolen,2B,2019,2021,26.2
2,3277,1B,2B,Stolen Base 2B,541650,Hernán Pérez,621107,Zach Eflin,606115,Orlando Arcia,R,Andrew Knapp,595284,2,0,4,False,2019-05-26,Stolen,2B,2019,2021,26.2
3,3649,2B,3B,Stolen Base 3B,541650,Hernán Pérez,501593,Luis Avilán,592325,Ben Gamel,L,Wilson Ramos,467092,3,1,8,False,2019-05-03,Stolen,3B,2019,2021,26.2
4,3887,1B,2B,Stolen Base 2B,541650,Hernán Pérez,523260,Joe Kelly,456715,Lorenzo Cain,R,Austin Barnes,605131,0,3,8,False,2019-04-18,Stolen,2B,2019,2021,26.2
5,4035,1B,,Caught Stealing 2B,541650,Hernán Pérez,570240,Félix Peña,518735,Yasmani Grandal,R,Kevan Smith,607345,0,0,2,True,2019-04-10,Caught,2B,2019,2021,26.2
6,4506,2B,3B,Stolen Base 3B,541650,Hernán Pérez,430935,Cole Hamels,606115,Orlando Arcia,L,Jonathan Lucroy,518960,4,1,3,False,2019-09-06,Stolen,3B,2019,2021,26.2
7,5876,1B,2B,Stolen Base 2B,541650,Hernán Pérez,434538,Francisco Liriano,542583,Jesús Aguilar,L,Elias Díaz,553869,4,2,8,False,2019-06-09,Stolen,2B,2019,2021,26.2
8,6120,1B,2B,Stolen Base 2B,541650,Hernán Pérez,621107,Zach Eflin,606115,Orlando Arcia,R,Andrew Knapp,595284,2,0,4,False,2019-05-26,Stolen,2B,2019,2021,26.2
9,6492,2B,3B,Stolen Base 3B,541650,Hernán Pérez,501593,Luis Avilán,592325,Ben Gamel,L,Wilson Ramos,467092,3,1,8,False,2019-05-03,Stolen,3B,2019,2021,26.2
10,6730,1B,2B,Stolen Base 2B,541650,Hernán Pérez,523260,Joe Kelly,456715,Lorenzo Cain,R,Austin Barnes,605131,0,3,8,False,2019-04-18,Stolen,2B,2019,2021,26.2
11,6878,1B,,Caught Stealing 2B,541650,Hernán Pérez,570240,Félix Peña,518735,Yasmani Grandal,R,Kevan Smith,607345,0,0,2,True,2019-04-10,Caught,2B,2019,2021,26.2
12,6430,2B,3B,Stolen Base 3B,541650,Hernán Pérez,430935,Cole Hamels,606115,Orlando Arcia,L,Jonathan Lucroy,518960,4,1,3,False,2019-09-06,Stolen,3B,2019,2021,26.2
