,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,48,1B,2B,Stolen Base 2B,657088,Forrest Wall,686747,Joe La Sorsa,607680,Kevin Pillar,L,Keibert Ruiz,660688,6,10,7,False,2023-09-29,Stolen,2B,2023,2024,28.8
1,118,1B,2B,Stolen Base 2B,657088,Forrest Wall,592767,Drew Smyly,671739,Michael Harris II,L,Yan Gomes,543228,5,6,8,False,2023-09-26,Stolen,2B,2023,2024,28.8
2,163,1B,2B,Stolen Base 2B,657088,Forrest Wall,672851,Joan Adon,671739,Michael Harris II,R,Keibert Ruiz,660688,0,0,3,True,2023-09-24,Stolen,2B,2023,2024,28.8
3,170,1B,2B,Stolen Base 2B,657088,Forrest Wall,672851,Joan Adon,671739,Michael Harris II,R,Keibert Ruiz,660688,0,0,3,True,2023-09-23,Stolen,2B,2023,2024,28.8
4,1559,1B,,Caught Stealing 2B,657088,Forrest Wall,445276,Kenley Jansen,606115,Orlando Arcia,R,Connor Wong,657136,5,3,9,True,2023-07-26,Caught,2B,2023,2024,28.8
5,1657,1B,2B,Stolen Base 2B,657088,Forrest Wall,642207,Devin Williams,606115,Orlando Arcia,R,William Contreras,661388,4,3,9,True,2023-07-22,Stolen,2B,2023,2024,28.8
6,1658,2B,3B,Stolen Base 3B,657088,Forrest Wall,642207,Devin Williams,606115,Orlando Arcia,R,William Contreras,661388,4,3,9,True,2023-07-22,Stolen,3B,2023,2024,28.8
7,4462,1B,2B,Stolen Base 2B,657088,Forrest Wall,686747,Joe La Sorsa,607680,Kevin Pillar,L,Keibert Ruiz,660688,6,10,7,False,2023-09-29,Stolen,2B,2023,2024,28.8
8,4532,1B,2B,Stolen Base 2B,657088,Forrest Wall,592767,Drew Smyly,671739,Michael Harris II,L,Yan Gomes,543228,5,6,8,False,2023-09-26,Stolen,2B,2023,2024,28.8
9,4577,1B,2B,Stolen Base 2B,657088,Forrest Wall,672851,Joan Adon,671739,Michael Harris II,R,Keibert Ruiz,660688,0,0,3,True,2023-09-24,Stolen,2B,2023,2024,28.8
10,4584,1B,2B,Stolen Base 2B,657088,Forrest Wall,672851,Joan Adon,671739,Michael Harris II,R,Keibert Ruiz,660688,0,0,3,True,2023-09-23,Stolen,2B,2023,2024,28.8
11,5973,1B,,Caught Stealing 2B,657088,Forrest Wall,445276,Kenley Jansen,606115,Orlando Arcia,R,Connor Wong,657136,5,3,9,True,2023-07-26,Caught,2B,2023,2024,28.8
12,6071,1B,2B,Stolen Base 2B,657088,Forrest Wall,642207,Devin Williams,606115,Orlando Arcia,R,William Contreras,661388,4,3,9,True,2023-07-22,Stolen,2B,2023,2024,28.8
13,6072,2B,3B,Stolen Base 3B,657088,Forrest Wall,642207,Devin Williams,606115,Orlando Arcia,R,William Contreras,661388,4,3,9,True,2023-07-22,Stolen,3B,2023,2024,28.8
