,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Arm_Strength,Exchange
0,1B,,Caught Stealing 2B,621573,Austin Dean,518516,Madison Bumgarner,667498,Robert Dugger,L,Buster Posey,457763,0,0,3,True,2019-09-14,Caught,2B,2019,2021, 81.8, 0.72
1,1B,,Caught Stealing 2B,642423,Magneuris Sierra,595881,Tyler Beede,623912,Harold Ramírez,R,Buster Posey,457763,1,0,7,True,2019-09-13,Caught,2B,2019,2021, 81.8, 0.72
2,1B,2B,Stolen Base 2B,668804,Bryan Reynolds,502188,Jeff Samardzija,592567,Colin Moran,R,Buster Posey,457763,0,3,5,True,2019-09-12,Stolen,2B,2019,2021, 81.8, 0.72
3,1B,,Caught Stealing 2B,596012,Kevin Kramer,502188,Jeff Samardzija,607732,Jacob Stallings,R,Buster Posey,457763,0,3,6,True,2019-09-12,Caught,2B,2019,2021, 81.8, 0.72
4,1B,2B,Stolen Base 2B,543939,Kolten Wong,518516,Madison Bumgarner,502671,Paul Goldschmidt,L,Buster Posey,457763,4,4,5,False,2019-09-04,Stolen,2B,2019,2021, 81.8, 0.72
5,2B,3B,Stolen Base 3B,669242,Tommy Edman,607457,Kyle Barraclough,572761,Matt Carpenter,R,Buster Posey,457763,3,0,7,False,2019-09-02,Stolen,3B,2019,2021, 81.8, 0.72
6,1B,2B,Stolen Base 2B,624641,Edmundo Sosa,607457,Kyle Barraclough,543939,Kolten Wong,R,Buster Posey,457763,3,0,7,False,2019-09-02,Stolen,2B,2019,2021, 81.8, 0.72
7,1B,2B,Stolen Base 2B,571976,Wil Myers,518516,Madison Bumgarner,592669,Hunter Renfroe,L,Buster Posey,457763,0,0,1,True,2019-08-30,Stolen,2B,2019,2021, 81.8, 0.72
8,1B,,Caught Stealing 2B,664034,Ty France,656322,Sam Coonrod,649966,Luis Urías,R,Buster Posey,457763,2,5,9,True,2019-08-29,Caught,2B,2019,2021, 81.8, 0.72
9,1B,2B,Stolen Base 2B,668942,Josh Rojas,518516,Madison Bumgarner,605113,Nick Ahmed,L,Buster Posey,457763,3,0,4,False,2019-08-18,Stolen,2B,2019,2021, 81.8, 0.72
10,1B,2B,Stolen Base 2B,502481,Jarrod Dyson,453265,Tony Watson,668942,Josh Rojas,L,Buster Posey,457763,5,1,8,False,2019-08-18,Stolen,2B,2019,2021, 81.8, 0.72
11,1B,2B,Stolen Base 2B,467827,Gerardo Parra,669214,Conner Menez,665742,Juan Soto,L,Buster Posey,457763,0,2,3,True,2019-08-06,Stolen,2B,2019,2021, 81.8, 0.72
12,1B,2B,Stolen Base 2B,607208,Trea Turner,656322,Sam Coonrod,594809,Adam Eaton,R,Buster Posey,457763,0,1,5,True,2019-08-05,Stolen,2B,2019,2021, 81.8, 0.72
13,3B,score,Stolen Base Home,543685,Anthony Rendon,572125,Sam Selman,571431,Matt Adams,L,Buster Posey,457763,0,4,9,True,2019-08-05,Stolen,Home,2019,2021, 81.8, 0.72
14,1B,2B,Stolen Base 2B,665742,Juan Soto,572125,Sam Selman,571431,Matt Adams,L,Buster Posey,457763,0,4,9,True,2019-08-05,Stolen,2B,2019,2021, 81.8, 0.72
15,1B,,Caught Stealing 2B,453568,Charlie Blackmon,641312,Shaun Anderson,596115,Trevor Story,R,Buster Posey,457763,2,1,4,False,2019-08-02,Caught,2B,2019,2021, 81.8, 0.72
16,1B,,Caught Stealing 2B,665487,Fernando Tatis Jr.,502188,Jeff Samardzija,592518,Manny Machado,R,Buster Posey,457763,0,0,1,False,2019-07-26,Caught,2B,2019,2021, 81.8, 0.72
17,1B,2B,Stolen Base 2B,595879,Javier Báez,518516,Madison Bumgarner,592178,Kris Bryant,L,Buster Posey,457763,1,2,3,True,2019-07-23,Stolen,2B,2019,2021, 81.8, 0.72
18,2B,3B,Stolen Base 3B,595879,Javier Báez,518516,Madison Bumgarner,592178,Kris Bryant,L,Buster Posey,457763,1,2,3,True,2019-07-23,Stolen,3B,2019,2021, 81.8, 0.72
19,1B,,Caught Stealing 2B,642086,Dominic Smith,502188,Jeff Samardzija,605204,J.D. Davis,R,Buster Posey,457763,0,2,4,True,2019-07-20,Caught,2B,2019,2021, 81.8, 0.72
20,1B,2B,Stolen Base 2B,642708,Amed Rosario,502188,Jeff Samardzija,621141,Walker Lockett,R,Buster Posey,457763,0,2,5,True,2019-07-20,Stolen,2B,2019,2021, 81.8, 0.72
21,1B,2B,Stolen Base 2B,606132,Raimel Tapia,519293,Will Smith,547172,Tony Wolters,L,Buster Posey,457763,4,4,9,False,2019-07-16,Stolen,2B,2019,2021, 81.8, 0.72
22,1B,2B,Stolen Base 2B,448602,Mark Reynolds,502188,Jeff Samardzija,547172,Tony Wolters,R,Buster Posey,457763,0,12,3,False,2019-07-15,Stolen,2B,2019,2021, 81.8, 0.72
23,1B,2B,Stolen Base 2B,669374,Keston Hiura,518516,Madison Bumgarner,444489,Manny Piña,L,Buster Posey,457763,0,1,2,False,2019-07-13,Stolen,2B,2019,2021, 81.8, 0.72
24,1B,2B,Stolen Base 2B,592885,Christian Yelich,518516,Madison Bumgarner,460075,Ryan Braun,L,Buster Posey,457763,1,1,5,False,2019-07-13,Stolen,2B,2019,2021, 81.8, 0.72
25,2B,3B,Stolen Base 3B,592885,Christian Yelich,518516,Madison Bumgarner,519058,Mike Moustakas,L,Buster Posey,457763,1,1,5,False,2019-07-13,Stolen,3B,2019,2021, 81.8, 0.72
26,1B,2B,Stolen Base 2B,460075,Ryan Braun,518516,Madison Bumgarner,519058,Mike Moustakas,L,Buster Posey,457763,1,1,5,False,2019-07-13,Stolen,2B,2019,2021, 81.8, 0.72
27,1B,,Caught Stealing 2B,456715,Lorenzo Cain,641312,Shaun Anderson,592885,Christian Yelich,R,Buster Posey,457763,1,0,3,False,2019-07-12,Caught,2B,2019,2021, 81.8, 0.72
28,3B,score,Stolen Base Home,500871,Eduardo Escobar,595881,Tyler Beede,605113,Nick Ahmed,R,Buster Posey,457763,3,0,1,False,2019-06-22,Stolen,Home,2019,2021, 81.8, 0.72
29,1B,2B,Stolen Base 2B,572233,Christian Walker,595881,Tyler Beede,605113,Nick Ahmed,R,Buster Posey,457763,3,0,1,False,2019-06-22,Stolen,2B,2019,2021, 81.8, 0.72
30,1B,2B,Stolen Base 2B,571771,Enrique Hernández,518516,Madison Bumgarner,501896,David Freese,L,Buster Posey,457763,0,0,1,False,2019-06-20,Stolen,2B,2019,2021, 81.8, 0.72
31,2B,3B,Stolen Base 3B,571771,Enrique Hernández,518516,Madison Bumgarner,571970,Max Muncy,L,Buster Posey,457763,1,0,1,False,2019-06-20,Stolen,3B,2019,2021, 81.8, 0.72
