,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Arm_Strength,Exchange
0,1B,2B,Stolen Base 2B,456488,Eduardo Núñez,643327,Zack Godley,456501,Johnny Cueto,R,Tuffy Gosewisch,488912,1,7,7,True,2016-09-10,Stolen,2B,2016,2017, 77.8, 0.68
1,1B,2B,Stolen Base 2B,606132,Raimel Tapia,605151,Archie Bradley,518934,DJ LeMahieu,R,Tuffy Gosewisch,488912,2,1,5,False,2016-09-04,Stolen,2B,2016,2017, 77.8, 0.68
2,1B,2B,Stolen Base 2B,621020,Dansby Swanson,592662,Robbie Ray,493596,Gordon Beckham,L,Tuffy Gosewisch,488912,0,0,2,True,2016-08-25,Stolen,2B,2016,2017, 77.8, 0.68
3,1B,,Caught Stealing 2B,542255,Ender Inciarte,592662,Robbie Ray,611177,Adonis García,L,Tuffy Gosewisch,488912,0,2,4,True,2016-08-25,Caught,2B,2016,2017, 77.8, 0.68
4,1B,,Caught Stealing 2B,608703,Matt Reynolds,425844,Zack Greinke,571927,Steven Matz,R,Tuffy Gosewisch,488912,1,1,5,False,2016-08-09,Caught,2B,2016,2017, 77.8, 0.68
5,1B,2B,Stolen Base 2B,542340,Jonathan Villar,605151,Archie Bradley,606115,Orlando Arcia,R,Tuffy Gosewisch,488912,0,0,1,True,2016-08-07,Stolen,2B,2016,2017, 77.8, 0.68
6,1B,2B,Stolen Base 2B,542979,Keon Broxton,605151,Archie Bradley,519421,Andy Wilkins,R,Tuffy Gosewisch,488912,0,1,2,True,2016-08-07,Stolen,2B,2016,2017, 77.8, 0.68
7,1B,2B,Stolen Base 2B,542340,Jonathan Villar,605151,Archie Bradley,606115,Orlando Arcia,R,Tuffy Gosewisch,488912,3,3,5,True,2016-08-07,Stolen,2B,2016,2017, 77.8, 0.68
8,1B,2B,Stolen Base 2B,541650,Hernán Pérez,592662,Robbie Ray,474892,Chris Carter,L,Tuffy Gosewisch,488912,0,2,1,False,2016-07-28,Stolen,2B,2016,2017, 77.8, 0.68
9,1B,2B,Stolen Base 2B,541650,Hernán Pérez,592662,Robbie Ray,474892,Chris Carter,L,Tuffy Gosewisch,488912,2,2,6,False,2016-07-28,Stolen,2B,2016,2017, 77.8, 0.68
10,1B,2B,Stolen Base 2B,460075,Ryan Braun,640463,Braden Shipley,518960,Jonathan Lucroy,R,Tuffy Gosewisch,488912,2,1,3,False,2016-07-25,Stolen,2B,2016,2017, 77.8, 0.68
11,1B,2B,Stolen Base 2B,571740,Billy Hamilton,592662,Robbie Ray,446359,Zack Cozart,L,Tuffy Gosewisch,488912,0,1,1,False,2016-07-23,Stolen,2B,2016,2017, 77.8, 0.68
12,1B,2B,Stolen Base 2B,458015,Joey Votto,592662,Robbie Ray,457803,Jay Bruce,L,Tuffy Gosewisch,488912,0,1,1,False,2016-07-23,Stolen,2B,2016,2017, 77.8, 0.68
13,1B,,Caught Stealing 2B,607680,Kevin Pillar,545332,Jake Barrett,516809,Junior Lake,R,Tuffy Gosewisch,488912,1,6,7,True,2016-07-20,Caught,2B,2016,2017, 77.8, 0.68
