,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Arm_Strength,Exchange
0,1B,,Caught Stealing 2B,660271,Shohei Ohtani,669160,Dustin May,621532,Anthony Bemboom,R,Austin Barnes,605131,1,0,2,True,2020-09-27,Caught,2B,2020,2021, 76.0, 0.70
1,2B,3B,Stolen Base 3B,606132,Raimel Tapia,477132,Clayton Kershaw,571448,Nolan Arenado,L,Austin Barnes,605131,1,2,1,False,2020-09-19,Stolen,3B,2020,2021, 76.0, 0.70
2,2B,,Caught Stealing 3B,592518,Manny Machado,595014,Blake Treinen,571976,Wil Myers,R,Austin Barnes,605131,6,1,7,False,2020-09-14,Caught,3B,2020,2021, 76.0, 0.70
3,1B,2B,Stolen Base 2B,641796,Tim Locastro,621111,Walker Buehler,668942,Josh Rojas,R,Austin Barnes,605131,1,1,3,False,2020-09-08,Stolen,2B,2020,2021, 76.0, 0.70
4,1B,2B,Stolen Base 2B,641796,Tim Locastro,445276,Kenley Jansen,606466,Ketel Marte,R,Austin Barnes,605131,6,6,9,False,2020-09-08,Stolen,2B,2020,2021, 76.0, 0.70
5,1B,2B,Stolen Base 2B,606132,Raimel Tapia,669160,Dustin May,453568,Charlie Blackmon,R,Austin Barnes,605131,0,0,1,True,2020-08-22,Stolen,2B,2020,2021, 76.0, 0.70
6,1B,2B,Stolen Base 2B,656541,Sam Hilliard,669160,Dustin May,547172,Tony Wolters,R,Austin Barnes,605131,2,1,5,True,2020-08-22,Stolen,2B,2020,2021, 76.0, 0.70
7,1B,2B,Stolen Base 2B,596115,Trevor Story,621111,Walker Buehler,453568,Charlie Blackmon,R,Austin Barnes,605131,4,1,6,True,2020-08-21,Stolen,2B,2020,2021, 76.0, 0.70
8,1B,2B,Stolen Base 2B,543829,Dee Strange-Gordon,664062,Tony Gonsolin,641487,J.P. Crawford,R,Austin Barnes,605131,0,0,3,True,2020-08-18,Stolen,2B,2020,2021, 76.0, 0.70
9,1B,2B,Stolen Base 2B,641786,Kyle Lewis,664062,Tony Gonsolin,543592,Austin Nola,R,Austin Barnes,605131,0,0,4,True,2020-08-18,Stolen,2B,2020,2021, 76.0, 0.70
10,1B,2B,Stolen Base 2B,641487,J.P. Crawford,595014,Blake Treinen,664238,Dylan Moore,R,Austin Barnes,605131,1,1,8,True,2020-08-18,Stolen,2B,2020,2021, 76.0, 0.70
11,1B,2B,Stolen Base 2B,572122,Kyle Seager,657571,Caleb Ferguson,543592,Austin Nola,L,Austin Barnes,605131,6,8,7,True,2020-08-17,Stolen,2B,2020,2021, 76.0, 0.70
12,1B,2B,Stolen Base 2B,545361,Mike Trout,621111,Walker Buehler,543685,Anthony Rendon,R,Austin Barnes,605131,5,4,5,False,2020-08-15,Stolen,2B,2020,2021, 76.0, 0.70
