Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
1B,,Caught Stealing 2B,150348,John McDonald,502593,Jake Petricka,545361,Mike Trout,R,Adrian Nieto,543589,5,7,8,True,2014-07-01,Caught,2B
1B,,Caught Stealing 2B,150348,John McDonald,502593,Jake Petricka,545361,Mike Trout,R,Adrian Nieto,543589,5,7,8,True,2014-06-30,Caught,2B
1B,,Caught Stealing 2B,456715,Lorenzo Cain,474029,Zach Putnam,519058,Mike Moustakas,R,Adrian Nieto,543589,3,6,8,True,2014-06-15,Caught,2B
1B,2B,Stolen Base 2B,434658,Rajai Davis,433579,John Danks,435079,Ian Kinsler,L,Adrian Nieto,543589,1,0,3,True,2014-06-11,Stolen,2B
1B,2B,Stolen Base 2B,545361,Mike Trout,516589,André Rienzo,405395,Albert Pujols,R,Adrian Nieto,543589,1,0,1,False,2014-06-06,Stolen,2B
1B,2B,Stolen Base 2B,475174,Yonder Alonso,433579,John Danks,457727,Cameron Maybin,L,Adrian Nieto,543589,0,1,4,True,2014-05-30,Stolen,2B
2B,3B,Stolen Base 3B,514888,Jose Altuve,433579,John Danks,518625,Matt Dominguez,L,Adrian Nieto,543589,0,0,1,False,2014-05-18,Stolen,3B
2B,3B,Stolen Base 3B,542340,Jonathan Villar,433579,John Danks,514888,Jose Altuve,L,Adrian Nieto,543589,4,0,2,False,2014-05-18,Stolen,3B
1B,2B,Stolen Base 2B,449107,Mike Aviles,433579,John Danks,430897,Nick Swisher,L,Adrian Nieto,543589,0,0,1,False,2014-05-02,Stolen,2B
1B,,Caught Stealing 2B,488671,Alex Avila,489056,Charlie Leesman,461865,Andrew Romine,L,Adrian Nieto,543589,1,1,2,False,2014-04-22,Caught,2B
1B,2B,Stolen Base 2B,502110,J.D. Martinez,474029,Zach Putnam,592206,Nick Castellanos,R,Adrian Nieto,543589,6,1,5,False,2014-04-22,Stolen,2B
1B,2B,Stolen Base 2B,434658,Rajai Davis,433579,John Danks,400121,Victor Martinez,L,Adrian Nieto,543589,0,0,1,False,2014-04-21,Stolen,2B
1B,2B,Stolen Base 2B,460579,Nyjer Morgan,453264,Donnie Veal,430897,Nick Swisher,L,Adrian Nieto,543589,6,8,8,True,2014-04-12,Stolen,2B
2B,3B,Stolen Base 3B,493114,Norichika Aoki,433579,John Danks,408299,Omar Infante,L,Adrian Nieto,543589,2,1,5,False,2014-04-05,Stolen,3B
1B,,Caught Stealing 2B,502481,Jarrod Dyson,275933,Scott Downs,460086,Alex Gordon,L,Adrian Nieto,543589,3,3,8,False,2014-04-05,Caught,2B
