Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1B,2B,Stolen Base 2B,113028,Johnny Damon,Brook Fordyce,1,3,6,False,2001-06-01,Stolen,2B,2001
1B,2B,Stolen Base 2B,118808,Mark McLemore,Brook Fordyce,0,0,1,False,2001-05-29,Stolen,2B,2001
1B,2B,Stolen Base 2B,115114,Rusty Greer,Brook Fordyce,0,0,1,True,2001-05-27,Stolen,2B,2001
1B,2B,Stolen Base 2B,120191,Rafael Palmeiro,Brook Fordyce,7,5,7,True,2001-05-25,Stolen,2B,2001
2B,3B,Stolen Base 3B,110236,Garret Anderson,Brook Fordyce,0,1,2,True,2001-05-24,Stolen,3B,2001
1B,2B,Stolen Base 2B,121640,Tim Salmon,Brook Fordyce,0,1,2,True,2001-05-24,Stolen,2B,2001
1B,2B,Stolen Base 2B,113889,Darin Erstad,Brook Fordyce,4,3,5,True,2001-05-24,Stolen,2B,2001
1B,2B,Stolen Base 2B,116338,Torii Hunter,Brook Fordyce,0,0,4,True,2001-05-19,Stolen,2B,2001
1B,2B,Stolen Base 2B,150218,Jacque Jones,Brook Fordyce,4,6,7,True,2001-05-19,Stolen,2B,2001
1B,2B,Stolen Base 2B,113845,Juan Encarnacion,Brook Fordyce,0,0,3,True,2001-05-17,Stolen,2B,2001
1B,,Caught Stealing 2B,150197,Jose Macias,Brook Fordyce,0,0,1,True,2001-05-15,Caught,2B,2001
1B,2B,Stolen Base 2B,117197,Chuck Knoblauch,Brook Fordyce,0,0,3,False,2001-05-13,Stolen,2B,2001
1B,2B,Stolen Base 2B,120028,Paul O'Neill,Brook Fordyce,0,1,1,False,2001-05-12,Stolen,2B,2001
1B,2B,Stolen Base 2B,150093,Alfonso Soriano,Brook Fordyce,1,2,2,False,2001-05-12,Stolen,2B,2001
1B,,Caught Stealing 2B,117197,Chuck Knoblauch,Brook Fordyce,4,2,4,False,2001-05-12,Caught,2B,2001
1B,,Caught Stealing 2B,115229,Jose Guillen,Brook Fordyce,0,0,2,False,2001-05-09,Caught,2B,2001
1B,2B,Stolen Base 2B,150390,Damian Rolls,Brook Fordyce,2,2,5,False,2001-05-09,Stolen,2B,2001
1B,,Caught Stealing 2B,116641,Russ Johnson,Brook Fordyce,3,3,7,False,2001-05-08,Caught,2B,2001
1B,2B,Stolen Base 2B,122522,Luis Sojo,Brook Fordyce,0,0,3,True,2001-05-06,Stolen,2B,2001
1B,2B,Stolen Base 2B,116798,David Justice,Brook Fordyce,1,0,5,True,2001-05-06,Stolen,2B,2001
1B,,Caught Stealing 2B,116798,David Justice,Brook Fordyce,1,1,7,True,2001-05-06,Caught,2B,2001
1B,2B,Stolen Base 2B,116539,Derek Jeter,Brook Fordyce,5,6,8,True,2001-05-04,Stolen,2B,2001
1B,2B,Stolen Base 2B,111515,Scott Brosius,Brook Fordyce,1,3,5,True,2001-05-03,Stolen,2B,2001
2B,3B,Stolen Base 3B,150093,Alfonso Soriano,Brook Fordyce,5,6,6,True,2001-05-03,Stolen,3B,2001
1B,2B,Stolen Base 2B,117197,Chuck Knoblauch,Brook Fordyce,5,6,7,True,2001-05-03,Stolen,2B,2001
1B,2B,Stolen Base 2B,150093,Alfonso Soriano,Brook Fordyce,5,7,8,True,2001-05-03,Stolen,2B,2001
1B,,Caught Stealing 2B,115229,Jose Guillen,Brook Fordyce,0,0,5,True,2001-05-01,Caught,2B,2001
1B,2B,Stolen Base 2B,150390,Damian Rolls,Brook Fordyce,2,0,6,True,2001-05-01,Stolen,2B,2001
1B,,Caught Stealing 2B,137006,Doug Mientkiewicz,Brook Fordyce,0,0,3,False,2001-04-29,Caught,2B,2001
1B,2B,Stolen Base 2B,276372,Luis Rivas,Brook Fordyce,3,0,5,False,2001-04-29,Stolen,2B,2001
1B,2B,Stolen Base 2B,120771,Tom Prince,Brook Fordyce,1,2,5,False,2001-04-28,Stolen,2B,2001
1B,,Caught Stealing 2B,136731,Corey Koskie,Brook Fordyce,1,2,6,False,2001-04-28,Caught,2B,2001
1B,,Caught Stealing 2B,115229,Jose Guillen,Brook Fordyce,0,3,2,False,2001-04-22,Caught,2B,2001
1B,2B,Stolen Base 2B,124314,Gerald Williams,Brook Fordyce,3,5,3,False,2001-04-22,Stolen,2B,2001
1B,2B,Stolen Base 2B,133160,Randy Winn,Brook Fordyce,8,8,9,False,2001-04-22,Stolen,2B,2001
1B,2B,Stolen Base 2B,118366,Felix Martinez,Brook Fordyce,3,5,7,False,2001-04-20,Stolen,2B,2001
1B,2B,Stolen Base 2B,133160,Randy Winn,Brook Fordyce,3,6,8,False,2001-04-20,Stolen,2B,2001
1B,2B,Stolen Base 2B,123675,Greg Vaughn,Brook Fordyce,1,0,4,True,2001-04-16,Stolen,2B,2001
2B,,Caught Stealing 3B,123675,Greg Vaughn,Brook Fordyce,1,0,4,True,2001-04-16,Caught,3B,2001
1B,,Caught Stealing 2B,118366,Felix Martinez,Brook Fordyce,1,1,5,True,2001-04-16,Caught,2B,2001
1B,2B,Stolen Base 2B,132660,Jolbert Cabrera,Brook Fordyce,1,3,3,False,2001-04-08,Stolen,2B,2001
1B,,Caught Stealing 2B,119811,Trot Nixon,Brook Fordyce,0,0,1,True,2001-04-04,Caught,2B,2001
1B,2B,Stolen Base 2B,123743,Jose Vizcaino,Brook Fordyce,5,1,5,True,2000-09-30,Stolen,2B,2000
1B,2B,Stolen Base 2B,122784,Shannon Stewart,Brook Fordyce,0,4,2,True,2000-09-27,Stolen,2B,2000
1B,,Caught Stealing 2B,122784,Shannon Stewart,Brook Fordyce,0,1,5,True,2000-09-26,Caught,2B,2000
1B,2B,Stolen Base 2B,150239,Terrence Long,Brook Fordyce,0,0,1,True,2000-09-20,Stolen,2B,2000
1B,2B,Stolen Base 2B,118365,Edgar Martinez,Brook Fordyce,0,1,6,True,2000-09-17,Stolen,2B,2000
1B,,Caught Stealing 2B,136722,Carlos Guillén,Brook Fordyce,1,3,9,True,2000-09-17,Caught,2B,2000
1B,2B,Stolen Base 2B,115749,Rickey Henderson,Brook Fordyce,2,6,6,True,2000-09-15,Stolen,2B,2000
1B,2B,Stolen Base 2B,121347,Alex Rodriguez,Brook Fordyce,2,6,8,True,2000-09-15,Stolen,2B,2000
